UniqueID;fundamental_advice;fund_advice_nrscore;uncle_stock_score;growth_score;value_score;greenblatt_score;piotroski_score;levermann_score;predictability_score;price_iv_buffett;iv_price_buf;rev_price;PL12M
196;4;4;0,63;0,61;0,45;0,62;7,48;2,68;0,64;7,29;7,29;1,23;-0,0713
197;4;4;0,61;0,6;0,5;0,59;5,41;-2,51;0,39;1,86;1,86;2,62;-0,0084
198;3;3;0,67;0,71;0,5;0,4;7,58;3,68;0,71;2,96;2,96;0,1189;0,0017
199;3;3;0,67;0,79;0,51;0,38;7,46;4,64;0,77;2,81;2,81;0,3533;0,5948
200;4;4;0,69;0,68;0,56;0,34;9,46;0,57;0,78;1,12;1,12;1,56;0,3165
201;5;5;0,86;0,84;0,61;0,61;6,72;1,49;0,44;0,78;0,78;0,4687;-0,0214
202;4;4;0,8;0,68;0,63;0,28;9,53;4,78;0,71;0,72;0,72;0,2748;0,0501
203;4;4;0,73;0,65;0,57;0,59;9,48;6,64;0,7;0,68;0,68;1,91;1,6004
204;3;3;0,7;0,83;0,49;0,37;8,43;0,55;0,71;13,86;13,86;2,07;0,0605
205;3;3;0,56;0,64;0,47;0,4;9,59;6,77;0,58;10,48;10,48;0,2397;-0,1793
206;5;5;0,82;0,74;0,64;0,55;4,45;6,64;0,67;0,35;0,35;0,9311;1,4397
207;5;5;0,81;0,71;0,65;0,74;6,48;8,72;0,66;0,03;0,03;1,05;1,032
208;4;4;0,83;0,67;0,75;1,1;3,47;-1,58;0,29;0,081;0,081;1,05;0,0204
209;4;4;0,64;0,64;0,51;0,68;5,43;2,62;0,32;2,29;2,29;0,5467;0,6931
210;5;5;0,88;0,73;0,75;1,13;2,45;1,49;0,74;0,6;0,6;0,2772;-0,1134
211;4;4;0,67;0,58;0,52;0,31;8,46;-3,65;0,62;4,7;4,7;2,12;1,5126
212;3;3;0,47;0,55;0,46;0,15;9,55;2,65;0,66;2,24;2,24;0,3193;-0,2813
213;5;5;0,84;0,65;0,7;1,13;7,54;-1,6;0,58;0,95;0,95;0,5359;0,2236
214;3;3;0,61;0,66;0,53;0,59;8,47;6,7;0,71;1,43;1,43;3,12;0,8256
215;5;5;0,87;0,6;0,89;1,12;4,45;2,69;0,63;0,02;0,02;34,08;0,0872
216;5;5;0,87;0,78;0,64;0,79;5,38;8,67;0,74;0,073;0,073;4,03;-0,0727
217;4;4;0,83;0,7;0,75;1,13;5,46;-4,45;0,45;1,08;1,08;0,2463;0,0238
218;3;3;0,66;0,77;0,44;0,56;7,41;1,6;0,65;1,93;1,93;0,1102;-0,0704
219;3;3;0,75;0,65;0,52;1,09;8,74;3,83;0,61;0,54;0,54;0,2126;0,3869
220;3;3;0,65;0,65;0,52;1,09;8,74;3,84;0,61;0,57;0,57;0,2115;0,4339
221;5;5;0,79;0,8;0,63;0,58;7,52;9,65;0,66;0,16;0,16;0,8141;2,7397
222;5;5;0,85;0,66;0,83;1,07;5,46;-2,49;0,71;0,64;0,64;0,7438;0,1507
223;2;2;0,51;0,59;0,44;0,29;9,53;5,75;0,45;19,69;19,69;0,8751;0,0597
224;5;5;0,82;0,66;0,68;0,76;7,51;1,6;0,73;0,16;0,16;2;-0,2121
225;5;5;0,76;0,7;0,6;0,48;6,46;6,63;0,42;0,32;0,32;1,41;0,8806
226;4;4;0,79;0,68;0,56;0,47;7,41;0,58;0,75;0,64;0,64;0,2425;-0,1401
227;4;4;0,65;0,61;0,6;0,49;9,53;7,72;0,73;12,61;12,61;0,9069;-0,0293
